128,10
64, 20
32, 30
16, 40
8,  50
4,  60
2,  70
1, 80
128,10
64, 20
32, 30
16, 40
8,  50
4,  60
2,  70
1, 80
128,10
64, 20
32, 30
16, 40
8,  50
4,  60
2,  70
1, 80
128,10
64, 20
32, 30
16, 40
8,  50
4,  60
2,  70
1, 80
128,10
64, 20
32, 30
16, 40
8,  50
4,  60
2,  70
1, 80
128,10
64, 20
32, 30
16, 40
8,  50
4,  60
2,  70
1, 80
128,10
64, 20
32, 30
16, 40
8,  50
4,  60
2,  70
1, 80
128,10
64, 20
32, 30
16, 40
8,  50
4,  60
2,  70
1, 80
128,10
64, 20
32, 30
16, 40
8,  50
4,  60
2,  70
1, 80



